Partlist

Exported from BMS.brd at 4/23/2016 3:34:17 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value               Package                  Library           Position (mil)        Orientation

1        BCV71SMD            SOT23-BEC                transistor-npn    (3978 2525)           R90
2        BCV71SMD            SOT23-BEC                transistor-npn    (5536.59055 2704.40945) MR0
3        BCV71SMD            SOT23-BEC                transistor-npn    (1878 2678)           R0
F19      FUSE_750MA_63V_0603 0603                     FSAE Electric     (2982 2170)           R0
F20      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3101 1827)           R180
F21      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3115 1568)           R90
F22      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3346 1134)           R0
F23      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3017 1141)           R90
F24      FUSE_750MA_63V_0603 0603                     FSAE Electric     (3402 497)            R90
F25      FUSE_750MA_63V_0603 0603                     FSAE Electric     (5138 4200)           R180
F26      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4515 3731)           R270
F27      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4522 3178)           R270
F28      FUSE_750MA_63V_0603 0603                     FSAE Electric     (5124 3199)           R0
F29      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4529 2737)           R270
F30      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4848 2486)           R180
F31      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4543 2086)           R180
F32      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4970 1939)           R90
F33      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4578 1652)           R90
F34      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4960 1233)           R90
F35      FUSE_750MA_63V_0603 0603                     FSAE Electric     (4648 1001)           R0
F36      FUSE_750MA_63V_0603 0603                     FSAE Electric     (5005 574)            R90
J1       M2_DF13-2P          DF13-2P                  FSAE Electric     (5875.9685 179.96063) R180
J2       M2_DF13-2P          DF13-2P                  FSAE Electric     (5875.81102 4203.03937) R0
Q1       BSS308PE            SOT23                    FSAE Electric     (4859 1270)           R0
Q2       BSS308PE            SOT23                    FSAE Electric     (4880 1500)           R0
Q3       BSS308PE            SOT23                    FSAE Electric     (4880 970)            R0
Q4       BSS308PE            SOT23                    FSAE Electric     (4870 1680)           R0
Q5       BSS308PE            SOT23                    FSAE Electric     (4877 1920)           R0
Q6       BSS308PE            SOT23                    FSAE Electric     (4870 2140)           R0
Q7       BSS308PE            SOT23                    FSAE Electric     (4870 2370)           R0
Q8       BSS308PE            SOT23                    FSAE Electric     (4870 2632)           R0
Q9       BSS308PE            SOT23                    FSAE Electric     (4870 2850)           R0
Q10      BSS308PE            SOT23                    FSAE Electric     (4860 3060)           R0
Q11      BSS308PE            SOT23                    FSAE Electric     (4870 3330)           R0
Q12      BSS308PE            SOT23                    FSAE Electric     (4870 3530)           R0
Q13      BSS308PE            SOT23                    FSAE Electric     (5419.7874 1263.93701) R90
Q14      BSS308PE            SOT23                    FSAE Electric     (695 1115)            R0
Q15      BSS308PE            SOT23                    FSAE Electric     (670 1380)            R0
Q16      BSS308PE            SOT23                    FSAE Electric     (660 915)             R0
Q17      BSS308PE            SOT23                    FSAE Electric     (680 1600)            R0
Q18      BSS308PE            SOT23                    FSAE Electric     (690 1795)            R0
Q19      BSS308PE            SOT23                    FSAE Electric     (700 2155)            R0
Q20      BSS308PE            SOT23                    FSAE Electric     (700 2460)            R0
Q21      BSS308PE            SOT23                    FSAE Electric     (690 2685)            R0
Q22      BSS308PE            SOT23                    FSAE Electric     (690 2915)            R0
Q23      BSS308PE            SOT23                    FSAE Electric     (685 3210)            R0
Q24      BSS308PE            SOT23                    FSAE Electric     (695 3452)            R0
Q25      BSS308PE            SOT23                    FSAE Electric     (690 3732)            R0
Q26      BSS308PE            SOT23                    FSAE Electric     (1721.67717 1442.66929) R180
Q27      BSS308PE            SOT23                    FSAE Electric     (2875 1138)           R0
Q28      BSS308PE            SOT23                    FSAE Electric     (2876 1316)           R0
Q29      BSS308PE            SOT23                    FSAE Electric     (2993 885)            R0
Q30      BSS308PE            SOT23                    FSAE Electric     (3000 1647)           R0
Q31      BSS308PE            SOT23                    FSAE Electric     (2864 1816)           R0
Q32      BSS308PE            SOT23                    FSAE Electric     (2880 2081)           R0
Q33      BSS308PE            SOT23                    FSAE Electric     (2871 2298)           R0
Q34      BSS308PE            SOT23                    FSAE Electric     (2886 2601)           R0
Q35      BSS308PE            SOT23                    FSAE Electric     (2909 2845)           R0
Q36      BSS308PE            SOT23                    FSAE Electric     (2929 3172)           R0
Q37      BSS308PE            SOT23                    FSAE Electric     (3054 3389)           R0
Q38      BSS308PE            SOT23                    FSAE Electric     (3028 3593)           R0
Q39      BSS308PE            SOT23                    FSAE Electric     (3855.44882 1313.51181) R90
R1       DNP                 0603                     FSAE Electric     (5587.18898 4002.55906) R270
R2       100                 0603                     FSAE Electric     (5446 2709)           R90
R3       100                 0603                     FSAE Electric     (5446 2569)           R270
R4       100                 0603                     FSAE Electric     (5087 3587)           R0
R5       100                 0603                     FSAE Electric     (5074 3111)           R0
R6       100                 0603                     FSAE Electric     (5081 3382)           R0
R7       3.3K                0603                     FSAE Electric     (5081 3482)           R0
R8       3.3K                0603                     FSAE Electric     (5077 3296)           R0
R9       475                 0603                     FSAE Electric     (4623 3377)           R90
R10      475                 0603                     FSAE Electric     (4620 3180)           R90
R11      100                 0603                     FSAE Electric     (5074 2913)           R0
R12      3.3K                0603                     FSAE Electric     (5074 3015)           R0
R13      475                 0603                     FSAE Electric     (4640 2970)           R90
R14      100                 0603                     FSAE Electric     (5070 2720)           R0
R15      3.3K                0603                     FSAE Electric     (5074 2814)           R0
R16      475                 0603                     FSAE Electric     (4660 2700)           R90
R17      100                 0603                     FSAE Electric     (5122 2532)           R0
R18      3.3K                0603                     FSAE Electric     (5070 2630)           R0
R19      475                 0603                     FSAE Electric     (4660 2470)           R90
R20      100                 0603                     FSAE Electric     (5071 2021)           R0
R21      3.3K                0603                     FSAE Electric     (5080 2110)           R0
R22      475                 0603                     FSAE Electric     (4680 2000)           R90
R23      100                 0603                     FSAE Electric     (5080 2220)           R0
R24      3.3K                0603                     FSAE Electric     (5080 2330)           R0
R25      475                 0603                     FSAE Electric     (4680 2210)           R90
R26      100                 0603                     FSAE Electric     (5080 1740)           R0
R27      3.3K                0603                     FSAE Electric     (5080 1900)           R0
R28      475                 0603                     FSAE Electric     (4680 1770)           R90
R29      100                 0603                     FSAE Electric     (5080 1510)           R0
R30      3.3K                0603                     FSAE Electric     (5080 1620)           R0
R31      475                 0603                     FSAE Electric     (4680 1540)           R90
R32      100                 0805                     FSAE Electric     (5080 1290)           R0
R33      3.3K                0805                     FSAE Electric     (5080 1400)           R0
R34      475                 0603                     FSAE Electric     (4680 1350)           R90
R35      100                 0603                     FSAE Electric     (5100 1050)           R0
R36      3.3K                0603                     FSAE Electric     (5100 1180)           R0
R37      475                 0603                     FSAE Electric     (4670 1110)           R90
R38      100                 0805                     FSAE Electric     (5100 810)            R0
R39      3.3K                0805                     FSAE Electric     (5100 930)            R0
R40      475                 0603                     FSAE Electric     (4680 820)            R90
R41      0                   0805                     FSAE Electric     (5107.1811 665.75591) R0
R42      16                  RR02J16RTB               FSAE Electric     (4641.49606 599.29134) R0
R43      16                  RR02J16RTB               FSAE Electric     (4425.43307 725.11811) R0
R44      16                  RR02J16RTB               FSAE Electric     (4430 980)            R0
R45      16                  RR02J16RTB               FSAE Electric     (4295.66929 854.40945) R180
R46      16                  RR02J16RTB               FSAE Electric     (4430 1230)           R0
R47      16                  RR02J16RTB               FSAE Electric     (4280 1100)           R180
R48      16                  RR02J16RTB               FSAE Electric     (4394 1487)           R0
R49      16                  RR02J16RTB               FSAE Electric     (4236 1360)           R180
R50      16                  RR02J16RTB               FSAE Electric     (4430 1760)           R0
R51      16                  RR02J16RTB               FSAE Electric     (4290 1620)           R180
