Partlist

Exported from A6BP-3.sch at 4/21/2016 3:48:01 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value           Device                       Package                           Library               Sheet
R60      120             RES_120_1%_0805              0805                              FSAE Electric         2
R61      620             RES_620_1%_0805              0805                              FSAE Electric         2
R62      620             RES_620_1%_0805              0805                              FSAE Electric         2
R63      6.04K           RES_6.04K_1%                 0805                              FSAE Electric         2
R64      6.04K           RES_6.04K_1%                 0805                              FSAE Electric         2
R65      330_1%          RES_330_1%_0805              0805                              FSAE Electric         5
R66      100K            RN-4_100K                    MNR14                             FSAE Electric         2
SJ1                      JUMPER-PAD-3-NOFULL_BOX_SILK PAD-JUMPER-3-NO_YES_SILK_FULL_BOX SparkFun-Passives     3
SJ2                      JUMPER-PAD-3-NOFULL_BOX_SILK PAD-JUMPER-3-NO_YES_SILK_FULL_BOX SparkFun-Passives     5
SS       CARD-2016RECP   CARD-2016RECP                CARD-2016-RCP                     FSAE Electric         2
U1       PIC18F45K22     PIC18F45K22                  TQFP-44                           FSAE Electric         4
U2       SN75HVD08DRSOIC SN75HVD08DRSOIC              SO-8                              FSAE Electric         4
U3       ACS712-5A       ACS712-5A                    SO-8                              FSAE Electric         1
U4       MIC5021         MIC5021                      SO-8                              FSAE Electric         5
U5       VND7040AJTR-E   VND7040AJTR-E                SSO-16-POWER                      FSAE Electric         4
U6       VND7040AJTR-E   VND7040AJTR-E                SSO-16-POWER                      FSAE Electric         3
U8       VND7040AJTR-E   VND7040AJTR-E                SSO-16-POWER                      FSAE Electric         4
U9       APXW003A0X3-SRZ APXW003A0X3-SRZ              APXW003A0X3-SRZ                   FSAE Electric         1
U10      VND7040AJTR-E   VND7040AJTR-E                SSO-16-POWER                      FSAE Electric         4
U11      ACS712-30A      ACS712-30A                   SO-8                              FSAE Electric         1
U12      APXW003A0X3-SRZ APXW003A0X3-SRZ              APXW003A0X3-SRZ                   FSAE Electric         1
U13      SN74LV594ADR    SN74LV594ADR                 SO-16                             FSAE Electric         4
U14      SN74LV594ADR    SN74LV594ADR                 SO-16                             FSAE Electric         4
U15      SN74LV594ADR    SN74LV594ADR                 SO-16                             FSAE Electric         4
U16      X9015_DIGI_POTS X9015_DIGI_POTS              SO08                              SparkFun-AnalogIC     5
U17      OPA344          OPA344                       SOT23-5                           FSAE Electric         5
U18      NUD3160DMT1G    NUD3160DMT1G                 SC74-6                            FSAE Electric         3
U19      NUD3160DMT1G    NUD3160DMT1G                 SC74-6                            FSAE Electric         3
U20      NCP1117DT_3.3   NCP1117DT_3.3                DPAK                              FSAE Electric         1
V1       35V             VARISTOR_35V                 0805                              FSAE Electric         1
X1       5566-4          5566-4                       5566-4                            con-molex             1
X2       5566-4          5566-4                       5566-4                            con-molex             1
