Qty-3,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
3,"U5",LTC6991,TSOT-23-6,LTC6991HS6#TRMPBF,Linear Technology,DK,LTC6991HS6#TRMPBFCT-ND,IC OSC SILICON PROG TSOT23-6,SOT-23-6 Thin, TSOT-23-6,REF75
6,"J1, J2",M2M1X2,MOLEX-1X2,0022232021,Molex, LLC,DK,WM4200-ND,CONN HEADER 2POS .100 VERT TIN,None,REF295
3,"U14",MAX823TEUK+T_3.08,SOT23-5,MAX823TEUK+T,Maxim Integrated,DK,MAX823TEUK+TCT-ND,IC SUPERV MPU CIRC 3.08V SOT23-5,SC-74A, SOT-753,REF287
3,"U13",MAX6817EUT+T,SOT23-6,MAX6817EUT+T,Maxim Integrated,DK,MAX6817EUT+TCT-ND,IC DEBOUNCER SWITCH DUAL SOT23-6,SOT-23-6,REF286
3,"U3",MAX6818,SSOP-20,MAX6818EAP+,Maxim Integrated,DK,MAX6818EAP+-ND,IC DEBOUNCER SWITCH OCTAL 20SSOP,20-SSOP (0.209", 5.30mm Width),REF247
9,"U10, U11, U16",MCP6541RT-E/OT,SOT23-5,MCP6541RT-E/OT,Microchip Technology,DK,MCP6541RT-E/OTCT-ND,IC COMP 1.6V SNGL P-P SOT23-5,SC-74A, SOT-753,REF276
3,"Q1",MMBT4403LT3G,SOT23,MMBT4403LT3G,ON Semiconductor,DK,MMBT4403LT3GOSCT-ND,TRANS PNP 40V 0.6A SOT-23,TO-236-3, SC-59, SOT-23-3,REF277
3,"U6",NC7S14M5X,SOT23-5,NC7S14M5X,Fairchild Semiconductor,DK,NC7S14M5XCT-ND,IC INVERTER SCHMITT INPUT SOT-23,SC-74A, SOT-753,REF70
3,"U9",NC7SZ08P5X,SC-70-5,NC7SZ08P5X,Fairchild Semiconductor,DK,NC7SZ08P5XCT-ND,IC GATE AND 1CH 2-INP SC-70-5,5-TSSOP, SC-70-5, SOT-353,REF68
3,"U1",PIC18F45K22,TQFP-44,PIC18F45K22T-I/PT,Microchip Technology,DK,PIC18F45K22T-I/PTCT-ND,IC MCU 8BIT 32KB FLASH 44TQFP,44-TQFP,REF50
