Partlist

Exported from BMS-HVver2.5.brd at 2/18/2017 9:01:58 AM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package                  Library           Position (mil)        Orientation
R135     16                    RR02J16RTB               FSAE Electric     (-550 1325)           R0
R136     16                    RR02J16RTB               FSAE Electric     (-700 1450)           R180
R137     16                    RR02J16RTB               FSAE Electric     (-550 1575)           R0
R138     1K                    0603                     FSAE Electric     (875 -375)            R90
R139     10K                   MNR14                    FSAE Electric     (690 -825)            R0
R140     100K                  0603                     FSAE Electric     (975 -425)            R270
R141     1.2K                  0603                     FSAE Electric     (408 300)             MR90
R142     787                   0805                     FSAE Electric     (408 150)             MR90
R143     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (265 1428)            R270
R144     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (-160 300)            R90
R145     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (277 -740)            R90
R146     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (-160 -1770)          R90
R147     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (1510 -1780)          R0
R149     100                   0603                     FSAE Electric     (-1615 1075)          R90
R150     100                   0603                     FSAE Electric     (-1647 929)           R180
R151     100                   0603                     FSAE Electric     (-2100 1525)          R0
R152     100                   0603                     FSAE Electric     (-2100 925)           R0
R153     100                   0805                     FSAE Electric     (-2100 1275)          R0
R154     3.3K                  0603                     FSAE Electric     (-2100 1425)          R0
R155     3.3K                  0805                     FSAE Electric     (-2100 1175)          R0
R156     475                   0603                     FSAE Electric     (-2608 1460)          R90
R157     475                   0603                     FSAE Electric     (-2600 1232)          R90
R158     100                   0603                     FSAE Electric     (-2100 725)           R0
R159     3.3K                  0603                     FSAE Electric     (-2100 825)           R0
R160     475                   0603                     FSAE Electric     (-2600 980)           R90
R161     100                   0603                     FSAE Electric     (-2100 550)           R0
R162     3.3K                  0805                     FSAE Electric     (-2100 625)           R0
R163     475                   0603                     FSAE Electric     (-2600 730)           R90
R164     100                   0603                     FSAE Electric     (-2100 225)           R0
R165     3.3K                  0603                     FSAE Electric     (-2100 450)           R0
R166     475                   0603                     FSAE Electric     (-2600 480)           R90
R167     100                   0603                     FSAE Electric     (-2100 -155)          R0
R168     3.3K                  0603                     FSAE Electric     (-2100 -65)           R0
R169     475                   0603                     FSAE Electric     (-2600 -20)           R90
R170     100                   0603                     FSAE Electric     (-2100 25)            R0
R171     3.3K                  0603                     FSAE Electric     (-2100 125)           R0
R172     475                   0603                     FSAE Electric     (-2600 230)           R90
R173     100                   0603                     FSAE Electric     (-2100 -500)          R0
R174     3.3K                  0603                     FSAE Electric     (-2100 -245)          R0
R175     475                   0603                     FSAE Electric     (-2600 -270)          R90
R176     100                   0603                     FSAE Electric     (-2100 -750)          R0
R177     3.3K                  0805                     FSAE Electric     (-2100 -575)          R0
R178     475                   0603                     FSAE Electric     (-2600 -520)          R90
R179     100                   0603                     FSAE Electric     (-2090 -935)          R0
R180     3.3K                  0603                     FSAE Electric     (-2100 -850)          R0
R181     475                   0603                     FSAE Electric     (-2600 -770)          R90
